,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,From ProPublica,,Form 990 - Top Block,,,,,Part I - Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part II - Signature Block,"Part VII - Compensation of Officers,Directors, etc.",,,,,,,,,,,,,,,,,,,,Part IX - Statement of Functional Expenes,,,,,,,,,,,,,,,,,,,,,,,,,,Part X - Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,The Osborn (Filed with 990 EZ),128,Rye,NY,2022/12/31,2023/10/31,46-3093940,$0 ,501(c)(3),www.theosborn.org,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Mathew G Anderson,0,0,0,Robert S Davis,0,0,0,Christopher Ferreri,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,208,90,84,54.5%,23.6%,22.0%
,9,Heritage Community of Kalamazoo,133,Kalamazoo,MI,2023/6/30,2024/4/30,38-2758582,"$6,177,697 ",501(c)(3),www.heritagecommunity.com,1989,11,66,0,32848,597617,4512902,5489052,800,318,9748,32285,4556298,6119272,0,0,3174830,3740179,103624,1437504,1771327,4612334,5511506,-56036,607766,-4368318,5620294,747259,10128105,-5115577,-4507811,,Jay Prince,0,324773,4276,Rachel Olmsted,200822,0,4276,Paul Barber,0,159990,11717,Lindsay Morse,0,141874,10544,Matthew Shankle,0,126502,11717,,968942,2160722,29136,368137,213242,,52062,157,,,,513349,64954,81170,209197,,4151,2194,30158,4836,,368161,94357,35636,5511506,1262588,1535786,,,,,53793,667902,,,,,,,,,80179,97584,4277522,1198987,3471863,3078535,,,,,,,,,-9236741,240487,-4368318,5620294,236997,342155,,,,,,,,,,,109901,88080,,,400361,9697870,747259,10128105,-5120850,-4512095,5273,4284,,,,,,,-5115577,-4507811,-4368318,5620294,,373,145,138,90,38.9%,37.0%,24.1%
,10,"Saint John’s Communities, Inc.",134,Milwaukee,WI,2022/12/31,2023/10/24,39-0807204,"$49,148,421 ",501(c)(3),saintjohnsmilw.org,1868,9,340,232,1813305,724368,26353410,28331848,3102663,1966257,14472,15055,31283850,31037528,634455,423070,13551947,15226729,213227,19451704,20270842,33638106,35920641,-2354256,-4883113,266896050,243534075,257138284,257105301,9757766,-13571226,WIPFLI LLP,Renee E Anderson,386196,0,23825,Dan A Lemminger,202640,202640,31562,Matthew Loyd,171955,0,26475,Keshia Exum-Pryor,126038,0,2081,,,,,11500,644223,11586211,406978,1653971,935346,,23699,47450,,,62304,1903194,142184,861175,,,1955514,7629,39865,4809472,,8826202,,238120,35920641,4167684,630536,,,,,414197,637041,,,,,,,121708,143457,845253,972801,251918536,76199608,182534388,175718928,54320678,41709406,13783133,14606387,,,,,10709009,9115519,266896050,243534075,2947026,2567032,,,118428745,122826224,133288528,128113213,,,,,,,,,2473985,3598832,257138284,257105301,4545949,-13612406,5211817,41180,,,,,,,9757766,-13571226,266896050,243534075,,372,297,50,25,79.8%,13.4%,6.7%
,11,Friendship Village of Kalamazoo (Filed with 990EZ),135,Kalamazoo,MI,2023/9/30,2023/12/10,38-2558573,"$59,686 ",501(c)(4),,,,,,59686,59686,0,0,0,0,0,0,59686,59686,0,0,1966,1966,0,62564,62564,64530,64530,-4844,-4844,128961,128961,0,0,124117,124117,,Nancy Ford Charles,0,0,0,David Lundquist,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,232,83,57,62.4%,22.3%,15.3%
,12,Attic Angel Community,178,Middleton,WI,2023/3/31,2023/11/22,39-0854841,"$3,416,926 ",501(c)(3),www.atticangel.org,1926,12,360,440,488182,236824,189911,168138,585977,482829,-42537,93045,1221533,980836,269932,233379,570460,688240,6661,287396,289560,1127788,1211179,93745,-230343,16992593,15669482,647752,632132,16344841,15037350,CLIFTONLARSONALLEN LLP,Michelle Godefrey,165174,0,565,John Kaiser,130572,130572,1303,Michael Drescher,103355,0,6901,Cheryl Miller,170514,0,15206,Kelly Dubois,108766,0,637,233379,119394,466797,8979,46124,46946,,22854,264,,,50099,,38756,19331,21169,,27752,2891,,2262,,53157,18099,18216,1211179,93561,34289,236062,184551,80000,40000,149230,74513,,,,,,,,,10921,4500,2990350,852103,2190859,2138247,13670073,12565373,,,500000,566667,,,61887,61342,16992593,15669482,317303,321188,,,6200,9540,,,,,,,,,,,324249,301404,647752,632132,16337641,15027180,7200,10170,,,,,,,16344841,15037350,16992593,15669482,,317,123,194,0,38.8%,61.2%,0.0%
,13,Immanuel Lutheran Communities,198,Kalispell,MT,2023/6/30,2024/5/9,81-0247706,"$27,216,419 ",501(c)(3),www.ilcorp.org,1953,12,397,30,4953077,1141271,19714005,23632877,741548,941918,19371,180145,25428001,25896211,30064,"8,200","13,448,089","14,930,945","273,432","13,657,094","14,604,130","27,135,247","29,543,275","-1,707,246","-3,647,064","74,381,473","71,288,709","72,697,431","72,878,631","1,684,042","-1,589,922",CLIFTONLARSONALLEN LLP,Jason Cronk,"304,028",0,"27,204",Teryn Waldenberg,"180,633","180,633","14,422",Carla Wilton,"172,597",0,"23,379",David Jolly,"132,443",0,"4,241",,,,,"8,200","759,876","12,062,677","232,253","946,716","929,423",,"154,766","85,276",103,,"51,728","3,314,283","304,066","240,068","9,167",,"772,699","106,461","41,418","2,996,227",,"2,678,097","421,490","176,849","29,543,275","1,325,534","1,747,447","5,046,160","6,327,951",,,"5,751,966","2,899,609",,,,,,,"65,331","58,585","207,316","235,711","78,855,750","30,907,708","49,616,328","47,948,042","12,177,666","11,917,192","37,000",,"124,845","124,845",,,"29,327","29,327","74,381,473","71,288,709","2,839,124","2,091,203",,,"2,033,779","2,240,889","57,471,822","56,636,419","10,290,706","11,854,120",,,,,,,"62,000","56,000","72,697,431","72,878,631","653,216","-2,609,184","1,030,826","1,019,262",,,,,,,"1,684,042","-1,589,922","74,381,473","71,288,709",,294,97,74,123,33.0%,25.2%,41.8%
,14,"Duncaster, Inc",199,Bloomfield,CT,2022/12/31,2023/11/11,06-1406263,"$1,113,918 ",501(c)(3),www.duncaster.org,1984,9,0,8,775263,363084,0,0,1178279,750834,0,0,1953542,1113918,0,23000,"74,019","57,514",0,"1,217,202","1,024,821","1,291,221","1,105,335","662,321","8,583","26,315,703","21,434,488","443,477","473,176","25,872,226","20,961,312",CLIFTONLARSONALLEN LLP,Kelly Papa,0,211721,26245,Herberrt Hershenson,0,0,0,,,,,,,,,,,,,,,"57,514",,,,,,,,,,,,"3,256",,,,,,,"691,098",,,,"1,105,335","31,606","50,921",,,"24,999","24,999",,,,,,,,,,,"149,024",0,"1,398,748",,"1,398,748","1,398,748","24,711,326","19,959,820",,,,,,,,,"26,315,703","21,434,488",,,"443,477","473,176",,,,,,,,,,,,,,,"443,477","473,176","12,515,984","-30,611","13,356,242","20,991,923",,,,,,,"25,872,226","20,961,312","26,315,703","21,434,488",,293,190,43,60,64.8%,14.7%,20.5%
,15,Clement Manor,200,Greenfield,WI,2023/6/30,2024/1/18,39-1020547,"$16,702,934 ",501(c)(3),www.clementmanor.org,1963,11,289,38,"1,461,496","130,378","14,524,905","16,543,256","5,732","29,300","-9,359","-20,040","15,982,774","16,682,894",0,0,"8,574,937","8,904,096",0,"8,241,000","8,858,385","16,815,937","17,762,481","-833,163","-1,079,587","19,024,939","17,291,999","22,613,639","21,960,286","-3,588,700","-4,668,287",CLIFTONLARSONALLEN LLP,Dennis Ferger,"248,298",0,"8,843",John Heindel,0,0,0,Teresa Gatto,"111,582",0,"10,214",,,,,,,,,,"359,880","6,780,337","173,742","1,077,060","513,077",,,,,,,"2,555,553",,"2,085,987",,,"666,712",,,"757,060",,"1,297,473","243,980",,"17,762,481","5,513,420","4,214,906",,,,,"857,529","993,748",,,,,,,"162,120","130,220","138,867","112,159","43,644,691","33,780,933","10,662,382","9,863,758",,,,,,,,,"1,690,621","1,977,208","19,024,939","17,291,999","2,452,075","2,226,085",,,,"813,962","15,674,127","15,392,098",,,,,,,"178,013",0,"4,309,424","3,528,141","22,613,639","21,960,286","-3,588,700","-4,668,287",,,,,,,,,"-3,588,700","-4,668,287","19,024,939","17,291,999",,293,136,107,50,46.4%,36.5%,17.1%
,16,Lenbrook,57,Atlanta,GA,2023/6/30,2024/3/5,58-1416841,"$58,136,066 ",501(c)(3),www.lenbrook-atlanta.org,1980,12,501,0,"3,253,753","741,488","40,812,497","47,381,091","1,979,062","1,707,223","32,893","42,916","46,078,205","49,872,718","22,998","66,777","21,390,602","24,353,550","2,436,865","25,955,087","27,709,934","47,368,687","52,130,261","-1,290,482","-2,257,543","291,448,667","288,832,262","379,817,566","379,484,834","-88,368,899","-90,652,572",SMITH & HOWARD ADVISORY LLC,Christopher M Keysor,"590,968",0,"106,366",Leslie A Dove,"377,568","377,568","63,600",Felicia Sveda,"353,475",0,"72,508",,,,,Allison B Perry,"204,446",0,"24,092","9,500","2,106,180","18,503,359","287,503","1,979,976","1,476,532",,"83,860","74,016",,,"174,931","2,777,877","667,800","1,470,884",0,0,"3,670,475","151,344",0,"4,193,995",0,"9,578,359",0,"765,362","52,130,261",196,103,"40,166,577","39,547,540","295,000","690,000","1,035,903","1,358,187",0,0,0,0,0,0,"35,721","38,565","116,513","106,386","300,456,276","97,217,436","206,779,156","203,238,840","40,022,072","41,562,826",637,637,0,0,0,0,"2,996,892","2,289,178","291,448,667","288,832,262","5,584,880","6,345,343",0,0,"251,015,871","274,000,392","78,554,821","75,419,795",0,0,0,0,"43,331,848","22,666,575",0,0,"1,330,146","1,052,729","379,817,566","379,484,834","-90,449,596","-92,144,600","2,080,697","1,492,028",,,,,,,"-88,368,899","-90,652,572","291,448,667","288,832,262",,481,403,18,60,83.8%,3.7%,12.5%
,17,Oak Hammock at the University of Florida,103,Gainesville,FL,2022/12/31,2023/9/28,59-3562098,"$41,637,523 ",501(c)(3),www.oakhammock.org,1998,12,539,11,"2,563,973","189,674","35,818,199","37,586,728","546,041","934,078",0,"2,927,043","38,928,213","41,637,523","100,304","108,399","15,180,036","16,745,802",0,"22,375,278","21,512,178","37,655,618","38,366,379","1,272,595","3,271,144","123,521,355","117,277,180","180,666,577","172,896,044","-57,145,222","-55,618,864",MSL PA,Kevin Ahmadi,"264,312",0,"28,271",Andrew Davey,"207,411",0,"33,777",,,,,,,,,,,,,,"548,864","13,254,090","102,277","2,359,027","481,544","8,908","9,912","44,733",,,"39,499","3,036,356","358,137","6,681","49,133",,"4,443,867","30,381",,"4,032,102",,"5,509,574","621,617","36,895","38,366,379","1,739,032","1,219,595",,,,,"1,672,872","1,352,060",,,,,,,"26,587","38,306","411,456","118,534","151,180,854","69,050,408","79,326,097","82,130,446",,,"39,383,296","31,442,399",,,"962,015","975,840",,,"123,521,355","117,277,180","3,875,720","4,591,859",,,"60,192,326","62,278,482","78,286,864","71,830,523",,,,,,,,,"38,311,667","34,195,180","180,666,577","172,896,044","-58,696,152","-57,016,918",,,,,,,,,"-57,145,222","-55,618,864","123,521,355","117,277,180",,406,269,64,73,66.3%,15.8%,18.0%
,18,Lutheran Social Ministries - Crane’s Mill,111,West Caldwell,NJ,2022/12/31,2023/11/14,22-3368378,"$44,437,927 ",501(c)(3),www.lsmnj.org,1995,12,171,148,84538,"434,777","24,094,527","24,445,305","4,069,116","2,068,338","229,864","224,116","28,478,045","27,172,536",0,0,"5,783,081","6,321,980",0,"21,109,889","21,980,010","26,892,970","28,301,990","1,585,075","-1,129,454","115,804,722","105,741,994","111,081,793","109,881,753","4,722,929","-4,139,759",BAKER TILLY US LLP,Colleen P Frankenfield,0,"813,105","50,677",Jeannine Richman,"288,329",0,"23,200",Marina Ferrer,"183,585",0,"13,471",,,,,,,,,,,"5,036,098","158,059","741,731","386,092","2,419,067","47,487","41,988",759,,,"4,727,586","263,478","1,072,578","420,183",,"3,663,609","5,417","5,537","1,784,457",,"4,441,315","957,851","514,928","28,301,990",,,"3,375,669","2,888,477",,,"597,947","1,131,768",,,,,,,,,"877,005","857,582","131,720,891","61,109,620","72,788,438","70,611,271","37,425,094","29,485,461",,,,,,,"740,569","767,435","115,804,722","105,741,994","2,004,093","2,381,505",,,"66,520,190","65,032,206","41,327,031","40,585,425",,,,,,,,,"1,230,479","1,882,617","111,081,793","109,881,753","4,722,929","-4,139,759",,,,,,,,,"4,722,929","-4,139,759","115,804,722","105,741,994",,397,271,70,56,68.3%,17.6%,14.1%
,19,Woodside Senior Communities,173,Green Bay,WI,2023/6/30,2024/3/21,30-0071529,"$151,624 ",501(c)(3),www.woodsidesseniorcommunities.org,2004,8,1,12,0,0,"139,846","151,606","-1,862",18,0,0,"137,984","151,624",0,0,"40,516","38,582",0,"162,533","163,266","203,049","201,848","-65,065","-50,224","1,147,845","1,122,854","118,487","143,720","1,029,358","979,134",WIPFLI LLP,Andrew Bake,0,0,0,Nicole Boldt,"142,788",0,"37,706",Laura Nelson,0,0,0,,,,,,,,,,,"36,795",,293,"1,494","12,600",,"14,625",,,,"14,371",,"7,317",,,"39,289",,,,,"69,828","4,630",606,"201,848","2,420","25,012","6,482","11,817",,,,,,,,,,,,,"1,789","3,091","2,139,096","1,067,686","1,124,582","1,071,410",,,,,,,,,"12,572","11,524","1,147,845","1,122,854","7,622","11,607",,,,,,,,,,,,,,,"110,865","132,113","118,487","143,720","-823,642","-873,866","1,853,000","1,853,000",,,,,,,"1,029,358","979,134","1,147,845","1,122,854",,322,75,117,130,23.3%,36.3%,40.4%
